Stars;Reviews
1.0;"Te aconsejo que no lo compres. Es genial al principio, realmente parece estar bien hecho. Al cabo de menos de 24 horas empezó a dar problemas, la pantalla se oscureció de repente, se apagó y, tras volver a encenderla, siempre aparecía la palabra APP en la pantalla. He intentado actualizar los recursos, el sistema y el firmware; Lo reseteé, lo reinstalé y probé de todo.Al final lo devolví, después de ni 48 horas.Es el segundo Umidigi el que me está dando problemas, ahora he cambiado de marca."
1.0;No necesito grandes prestaciones en un smartwatch, pero quería un reloj y me guié por las buenas opiniones de este modelo.Se ve bonito, con un buen tamaño de pantalla y todas las funciones que puedes esperar de un reloj de este tipo, incluso GPS. Además la presentación es muy buena, y eso lo hace idóneo para el caso que se quiera regalar. Lo estuve toqueteando un buen rato, poniendo mis datos y comprobando cómo funcionaba.La verdad es que me decepcionó un poco que no se pudiera cambiar el idioma y las pocas opciones de personalizarlo, pero decidí que eran cuestiones menores, y en cuanto a funciones estaba realmente bien por el precio que tiene. Así que me lo puse para una breve salida a la calle. Mi sorpresa fue cuando al llegar a casa vi que la pantalla táctil estaba completamente muerta. Sólo conseguía que se encendiera pulsando el botón para mostrar la hora, pero nada más, ni siquiera podía apagarlo o reiniciarlo para intentar volverlo a la vida.No se si tuve muy mala suerte. Como siempre, el servicio de atención de Amazon me ofreció la devolución de inmediato, ningún problema en ese sentido. Pero me quedé algo incómoda ante la perspectiva de devolver un artefacto de este tipo sin poder borrar mis datos personales.No he repetido, he optado por otra marca.
1.0;20 dias y dejó de funcionar, se apagó y ya no lo pude volver a enchufar. Nada recomendable
1.0;Malísimo, no lo recomiendo para nada, no cuenta los pasos reales , la tensión marca siempre la misma aun cambiando de personas, se agota la batería en 2/3 días, vibra solo y cuando miras se ha cambiado el fondo de pantalla (esfera) así un sin fin de etcéteras …
1.0;No como creo, la batería no es tan buena como escribieron, la aplicación es 💩💩💩💩💩
1.0;Con solo 5 días de uso tuve que devolver fotos de lo sucedido. Rastreador/sueño, etc. No es preciso. La duración de la batería también es muy mala. Conectividad muy fácil. Tienes lo que pagas. Cambió la pantalla en sí 🤬🤬. Al lado no hay problema con volver tan lejos.
1.0;Según como se describe, no es nada funcional, incluso sentado, si mueves el brazo, marca los pasos. Lo recomiendo encarecidamente.
1.0;Después de actualizar, compre la aplicación en el dial y no se desbloquea. ¡Inutilizable y rendido! He visto en las preguntas que muchas personas han tenido el mismo problema y en este momento no entiendo todas estas críticas positivas.
1.0;La correa es una basura. Me ha durado el color 2 días literalmente. Es imposible de quitar esas manchas azules y encima cuesta un monton encontrar recambios de correas...Muy insatisfecha con el producto para lo que vale!
1.0;El reloj en sí parecía estar bien, pero solo se usó durante menos de una hora y la correa se cayó de la esfera del reloj 3 veces. Excelente servicio al cliente, el reembolso fue rápido y sin problemas.
1.0;nunca ha funcionado
1.0;Buen producto y precio adecuado, entrega a tiempo, desafortunadamente después de dos días tuve una reacción alérgica a la hebilla que ciertamente contiene Nikel incluso si el fabricante no lo informa
1.0;Ya decepcionado por el Uwatch2 que había comprado para la función de control de la presión arterial, leído entre las revisiones, que en cambio no estaba entre las funciones disponibles, este Ufit fue un verdadero fracaso ... Mierda de pantalla táctil y después de una semana se apagó y nunca más se encendió. Nunca más Umidigi, no recomiendo la compra.Una nota de crédito va a Amazon, como siempre impecable... Devolví ambos relojes e inmediatamente recibí un reembolso.
1.0;Ha dejado de cargar a los 3 meses.
1.0;soy un pobre assalido
1.0;Devuelto porque no pude hacerlo funcionar con mi iphone 10
1.0;No es correcto.
1.0;El reloj inteligente funcionó muy bien del 20 al 31 de julio a última hora de la tarde, ya que ayer por la noche ya no se puede ver la pantalla. Escribí al vendedor para pedirle que activara la garantía legal. Esperaba que durara más
1.0;Estaba usando este reloj cuando mi piel comenzó a arder. Me quité el reloj lo más rápido posible. Tomó un termómetro normal y después de subir por encima de los 108 grados, el termómetro no marcaba más. Luego le puse un termómetro para carne (ver video) llegó a 216 grados! Estoy tan agradecida de haber estado despierta cuando esto sucedió.
1.0;Después de 3 semanas de uso, mal funcionamiento de la pantalla...
1.0;En principio le di una opinión positiva, pero fue apresurada ya que dejo de funcionar.Al parecer le entró agua y no fue por sumergirlo en agua profunda, solo dejo de funcionar y digo que es por agua ya que se ve una mancha en su pantalla que ni siquiera enciende.Solicite la etiqueta para devolución la cual rechace poco después por que me dio pereza devolverlo.
1.0;No le llegan al reloj las notificaciones.Solo lo tienes para que te diga el día, la hora y los pasos q das que m, encima, los cuenta mal.Es imposible que se vincule al móvil. Una vez q lo conectas a los dos minutos ya vuelve a desconectarse solo
1.0;El reloj me ha desilusionado, fue un regalo que envié a otra persona y he quedado muy mal.La batería se ha descargado y no se ha podido cargar nuevamente, funcionó solamente el primer día hasta que se agotó. Se siguieron los pasos indicados en el manual y no fue posible volver a cargarla. Qué garantía tiene esta compra y de qué forma Amazon me soluciona este problema?Espero una respuestaVittorio Noviello
1.0;No vale la pena comprar, compré dos de estos para los cumpleaños de mis hijos. Cuando abrimos uno ayer, la correa ni siquiera estaba colocada. No compre. No vale ni £ 5, es barato y desagradable.
1.0;No me ha gustado nada de este smartwatch. el control del sueño es patetico
1.0;En principio era un buen producto. Pero pasados 3 meses dejo de funcionar. Puesto en contacto con el servicio técnico. Decimos devolución. No hubo mucho problema con el vendedor. Reembolsaron el dinero y a buscar otro. Nunca supimos porque no cargaba.
1.0;No compatible con Android, se desconecta sólo y para volver a conectarlo hay que hacer todo de nuevo. Ni WhatsApp ni llamadas. No lo recomiendo
1.0;no sincroniza correctamente, ni notifica (con movil xiaomi)
1.0;El reloj que recibí no se carga después de que se agote la batería
